Date,Price,Open,High,Low,Vol.,Change %
2019-12-09,"4,533.75","4,533.75","4,533.75","4,533.75",-,-1.35%
2019-12-08,"4,596.00","4,596.00","4,596.00","4,596.00",-,-1.61%
2019-12-05,"4,671.33","4,671.33","4,671.33","4,671.33",-,-0.67%
2019-12-04,"4,702.98","4,702.98","4,702.98","4,702.98",-,0.12%
2019-12-03,"4,697.35","4,697.35","4,697.35","4,697.35",-,-0.79%
2019-12-02,"4,734.59","4,734.59","4,734.59","4,734.59",-,-0.51%
2019-12-01,"4,758.81","4,758.81","4,758.81","4,758.81",-,0.58%
2019-11-28,"4,731.43","4,731.43","4,731.43","4,731.43",-,0.02%
2019-11-27,"4,730.34","4,730.34","4,730.34","4,730.34",-,0.17%
2019-11-26,"4,722.30","4,722.30","4,722.30","4,722.30",-,0.61%
2019-11-25,"4,693.62","4,693.62","4,693.62","4,693.62",-,0.11%
2019-11-24,"4,688.42","4,688.42","4,688.42","4,688.42",-,-0.39%
2019-11-21,"4,706.66","4,706.66","4,706.66","4,706.66",-,0.31%
2019-11-20,"4,691.93","4,691.93","4,691.93","4,691.93",-,-0.64%
2019-11-19,"4,722.37","4,722.37","4,722.37","4,722.37",-,0.01%
2019-11-18,"4,722.01","4,722.01","4,722.01","4,722.01",-,0.10%
2019-11-17,"4,717.39","4,717.39","4,717.39","4,717.39",-,0.15%
2019-11-14,"4,710.36","4,710.36","4,710.36","4,710.36",-,-0.57%
2019-11-13,"4,737.17","4,737.17","4,737.17","4,737.17",-,-0.88%
2019-11-12,"4,779.18","4,779.18","4,779.18","4,779.18",-,-0.05%
2019-11-11,"4,781.47","4,781.47","4,781.47","4,781.47",-,0.20%
2019-11-07,"4,771.91","4,771.91","4,771.91","4,771.91",-,0.36%
2019-11-06,"4,754.69","4,754.69","4,754.69","4,754.69",-,1.08%
2019-11-05,"4,703.70","4,703.70","4,703.70","4,703.70",-,0.54%
2019-11-04,"4,678.36","4,678.36","4,678.36","4,678.36",-,-0.72%
2019-11-03,"4,712.08","4,712.08","4,712.08","4,712.08",-,0.62%
2019-10-31,"4,682.90","4,682.90","4,682.90","4,682.90",-,-0.01%
2019-10-30,"4,683.20","4,683.20","4,683.20","4,683.20",-,0.27%
2019-10-29,"4,670.74","4,670.74","4,670.74","4,670.74",-,-0.61%
2019-10-28,"4,699.22","4,699.22","4,699.22","4,699.22",-,-1.12%
2019-10-27,"4,752.64","4,752.64","4,752.64","4,752.64",-,-0.41%
2019-10-24,"4,772.00","4,772.00","4,772.00","4,772.00",-,0.96%
2019-10-23,"4,726.62","4,726.62","4,726.62","4,726.62",-,0.38%
2019-10-22,"4,708.68","4,708.68","4,708.68","4,708.68",-,-1.11%
2019-10-21,"4,761.42","4,761.42","4,761.42","4,761.42",-,-0.43%
2019-10-20,"4,782.09","4,782.09","4,782.09","4,782.09",-,0.23%
2019-10-17,"4,770.99","4,770.99","4,770.99","4,770.99",-,-0.22%
2019-10-16,"4,781.62","4,781.62","4,781.62","4,781.62",-,-0.83%
2019-10-15,"4,821.64","4,821.64","4,821.64","4,821.64",-,2.34%
2019-10-14,"4,711.30","4,711.30","4,711.30","4,711.30",-,-1.06%
2019-10-13,"4,761.87","4,761.87","4,761.87","4,761.87",-,-1.00%
2019-10-10,"4,810.21","4,810.21","4,810.21","4,810.21",-,-1.07%
2019-10-09,"4,862.25","4,862.25","4,862.25","4,862.25",-,-0.66%
2019-10-07,"4,894.31","4,894.31","4,894.31","4,894.31",-,-0.45%
2019-10-06,"4,916.68","4,916.68","4,916.68","4,916.68",-,-0.43%
2019-10-03,"4,937.82","4,937.82","4,937.82","4,937.82",-,0.03%
2019-10-02,"4,936.37","4,936.37","4,936.37","4,936.37",-,-0.26%
2019-10-01,"4,949.39","4,949.39","4,949.39","4,949.39",-,0.04%
2019-09-30,"4,947.63","4,947.63","4,947.63","4,947.63",-,-0.56%
2019-09-29,"4,975.73","4,975.73","4,975.73","4,975.73",-,0.15%
2019-09-26,"4,968.46","4,968.46","4,968.46","4,968.46",-,0.34%
2019-09-25,"4,951.73","4,951.73","4,951.73","4,951.73",-,-0.14%
2019-09-24,"4,958.72","4,958.72","4,958.72","4,958.72",-,-0.83%
2019-09-23,"5,000.23","5,000.23","5,000.23","5,000.23",-,1.61%
2019-09-22,"4,920.96","4,920.96","4,920.96","4,920.96",-,1.34%
2019-09-19,"4,855.98","4,855.98","4,855.98","4,855.98",-,-0.66%
2019-09-18,"4,888.01","4,888.01","4,888.01","4,888.01",-,-0.83%
2019-09-17,"4,928.98","4,928.98","4,928.98","4,928.98",-,-0.62%
2019-09-16,"4,959.73","4,959.73","4,959.73","4,959.73",-,0.35%
2019-09-15,"4,942.23","4,942.23","4,942.23","4,942.23",-,0.17%
2019-09-12,"4,933.89","4,933.89","4,933.89","4,933.89",-,0.01%
2019-09-11,"4,933.17","4,933.17","4,933.17","4,933.17",-,-1.51%
2019-09-09,"5,008.96","5,008.96","5,008.96","5,008.96",-,-0.49%
2019-09-08,"5,033.79","5,033.79","5,033.79","5,033.79",-,0.41%
2019-09-05,"5,013.01","5,013.01","5,013.01","5,013.01",-,0.53%
2019-09-04,"4,986.37","4,986.37","4,986.37","4,986.37",-,-0.41%
2019-09-03,"5,007.05","5,007.05","5,007.05","5,007.05",-,-0.53%
2019-09-02,"5,033.53","5,033.53","5,033.53","5,033.53",-,-0.73%
2019-09-01,"5,070.68","5,070.68","5,070.68","5,070.68",-,-0.49%
2019-08-29,"5,095.77","5,095.77","5,095.77","5,095.77",-,-0.86%
2019-08-28,"5,139.99","5,139.99","5,139.99","5,139.99",-,-0.75%
2019-08-27,"5,178.70","5,178.70","5,178.70","5,178.70",-,0.25%
2019-08-26,"5,165.76","5,165.76","5,165.76","5,165.76",-,-1.11%
2019-08-25,"5,223.72","5,223.72","5,223.72","5,223.72",-,-0.25%
2019-08-22,"5,236.85","5,236.85","5,236.85","5,236.85",-,0.26%
2019-08-21,"5,223.41","5,223.41","5,223.41","5,223.41",-,-0.08%
2019-08-20,"5,227.49","5,227.49","5,227.49","5,227.49",-,0.00%
2019-08-19,"5,227.26","5,227.26","5,227.26","5,227.26",-,0.21%
2019-08-18,"5,216.53","5,216.53","5,216.53","5,216.53",-,0.29%
2019-08-08,"5,201.42","5,201.42","5,201.42","5,201.42",-,0.27%
2019-08-07,"5,187.20","5,187.20","5,187.20","5,187.20",-,0.00%
2019-08-06,"5,187.29","5,187.29","5,187.29","5,187.29",-,0.52%
2019-08-05,"5,160.37","5,160.37","5,160.37","5,160.37",-,-0.24%
2019-08-04,"5,172.86","5,172.86","5,172.86","5,172.86",-,0.06%
2019-08-01,"5,169.73","5,169.73","5,169.73","5,169.73",-,0.60%
2019-07-31,"5,138.79","5,138.79","5,138.79","5,138.79",-,0.27%
2019-07-30,"5,125.02","5,125.02","5,125.02","5,125.02",-,-0.69%
2019-07-29,"5,160.74","5,160.74","5,160.74","5,160.74",-,0.52%
2019-07-28,"5,133.93","5,133.93","5,133.93","5,133.93",-,0.01%
2019-07-25,"5,133.25","5,133.25","5,133.25","5,133.25",-,1.10%
2019-07-24,"5,077.28","5,077.28","5,077.28","5,077.28",-,-0.01%
2019-07-23,"5,077.75","5,077.75","5,077.75","5,077.75",-,2.24%
2019-07-22,"4,966.44","4,966.44","4,966.44","4,966.44",-,-1.34%
2019-07-21,"5,033.74","5,033.74","5,033.74","5,033.74",-,-1.89%
2019-07-18,"5,130.69","5,130.69","5,130.69","5,130.69",-,-0.05%
2019-07-17,"5,133.13","5,133.13","5,133.13","5,133.13",-,0.17%
2019-07-16,"5,124.44","5,124.44","5,124.44","5,124.44",-,0.65%
2019-07-15,"5,091.48","5,091.48","5,091.48","5,091.48",-,-1.70%
2019-07-14,"5,179.49","5,179.49","5,179.49","5,179.49",-,-0.82%
2019-07-11,"5,222.30","5,222.30","5,222.30","5,222.30",-,-0.16%
2019-07-10,"5,230.63","5,230.63","5,230.63","5,230.63",-,-0.94%
2019-07-09,"5,280.04","5,280.04","5,280.04","5,280.04",-,-0.73%
2019-07-08,"5,318.61","5,318.61","5,318.61","5,318.61",-,-0.27%
2019-07-07,"5,333.08","5,333.08","5,333.08","5,333.08",-,-0.89%
2019-07-04,"5,380.79","5,380.79","5,380.79","5,380.79",-,0.16%
2019-07-03,"5,372.21","5,372.21","5,372.21","5,372.21",-,-0.24%
2019-07-02,"5,384.92","5,384.92","5,384.92","5,384.92",-,-0.68%
2019-06-30,"5,421.62","5,421.62","5,421.62","5,421.62",-,-0.16%
2019-06-27,"5,430.04","5,430.04","5,430.04","5,430.04",-,0.36%
2019-06-26,"5,410.70","5,410.70","5,410.70","5,410.70",-,0.55%
2019-06-25,"5,380.96","5,380.96","5,380.96","5,380.96",-,-0.11%
2019-06-24,"5,386.87","5,386.87","5,386.87","5,386.87",-,0.06%
2019-06-23,"5,383.89","5,383.89","5,383.89","5,383.89",-,-0.22%
2019-06-20,"5,395.62","5,395.62","5,395.62","5,395.62",-,-0.29%
2019-06-19,"5,411.40","5,411.40","5,411.40","5,411.40",-,0.21%
2019-06-18,"5,400.23","5,400.23","5,400.23","5,400.23",-,0.46%
2019-06-17,"5,375.29","5,375.29","5,375.29","5,375.29",-,-1.02%
2019-06-16,"5,430.83","5,430.83","5,430.83","5,430.83",-,-0.79%
2019-06-13,"5,474.30","5,474.30","5,474.30","5,474.30",-,0.09%
2019-06-12,"5,469.63","5,469.63","5,469.63","5,469.63",-,-0.12%
2019-06-11,"5,475.98","5,475.98","5,475.98","5,475.98",-,0.82%
2019-06-10,"5,431.59","5,431.59","5,431.59","5,431.59",-,0.53%
2019-06-09,"5,402.96","5,402.96","5,402.96","5,402.96",-,0.47%
